page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Donald J. Trump,35000,200,Georgia,"DO NOT DONATE IF YOU CAN’T AFFORD TO!

Joe Biden has destroyed our country, so if you can’t afford to chip in, don’t even think about it!

But if you can, even $1 will go a long way in helping us win back the White House.

I know with your support, we will Make America Great Again.",donate.donaldjtrump.com,WATCH MY FULL MESSAGE >>>,Donate Today!,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,175
Donald J. Trump,30000,200,Georgia,"🚨DO NOT DONATE IF YOU CAN’T AFFORD TO!🚨

Joe Biden has destroyed our country, so if you can’t afford to chip in, don’t even think about it!

But if you can, even $1 will go a long way in helping us win back the White House.

I know with your support, we will Make America Great Again.",donate.donaldjtrump.com,STAND WITH PRESIDENT TRUMP 🇺🇸,Donate Today!,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,150
Donald J. Trump,2300000,16100,Michigan,"🛑 ATTENTION VOTERS 🛑

This Election is in YOUR hands.

Vote Trump!

Find your polling place TODAY.",vote.donaldjtrump.com,Find your voting location NOW.,Trump needs your vote to Save America,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",142.8571429
Donald J. Trump,2400000,22000,Pennsylvania,"“There’s no question, I’m in favor of BANNING FRACKING.”

Kamala will declare war on Pennsylvania energy. She wants to ban fracking, and if elected, Pennsylvania will SUFFER.

We can’t let her push the Green New Scam with the dangerously radical and corrupt left.

President Trump will Make America ENERGY DOMINANT!",win.donaldjtrump.com,Kamala Harris Will BAN Fracking,She is NOT the leader Pennsylvanians need,Trump National Committee JFC,109.0909091
Donald J. Trump,2425000,22800,Michigan,"🛑 ATTENTION VOTERS 🛑

This Election is in YOUR hands.

Vote Trump!

Find your polling place TODAY.",vote.donaldjtrump.com,Find your voting location NOW.,"Swamp the Vote, Michigan","DONALD J. TRUMP FOR PRESIDENT 2024, INC.",106.3596491
Donald J. Trump,19000,199,Michigan,"MICHIGAN: Join me in Waterford Township!

Saturday, February 17th, 2024.

Sign up now to secure your FREE tickets.",event.donaldjtrump.com,Join President Trump in MI!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",95.47738693
Donald J. Trump,19000,199,Pennsylvania,"Pennsylvania: Claim your FREE TICKETS to join me in Butler, PA! 🇺🇸

Be part of a HISTORIC rally!

Get your tickets before they’re gone – and I’ll see you soon!",event.donaldjtrump.com,Join me in PA!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"TRUMP 47 COMMITTEE, INC.",95.47738693
Donald J. Trump,108499.5,1197,Georgia,"Join me in Rome, GA!

Saturday, March 9th, 2024.

Sign up now to secure your FREE tickets.",event.donaldjtrump.com,Join President Trump in GA!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",90.64285714
Donald J. Trump,80000,900,Georgia,"I’m humbly asking if you can chip in $5, $10, or even $25?

With your donation, we will win back the White House.

If you can’t contribute now, don’t even think about it. Take care of your family and yourself first.

When I’m back in office, we will Make America Great Again.",donate.donaldjtrump.com,STAND WITH PRESIDENT TRUMP 🇺🇸,Donate Today!,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,88.88888889
Donald J. Trump,221498.5,2497,Pennsylvania,"Join me for a rally in in Schnecksville, PA! 

Saturday, April 13th, 2024.

Sign up now to secure your FREE tickets.",event.donaldjtrump.com,Join President Trump in PA!,Get Your 𝙁𝙍𝙀𝙀 Tickets,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",88.70584702
