page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Kamala Harris,93000,449.5,Nevada,"Trump’s vision sets us back, making things harder for ordinary Americans – while Vice President Harris has consistently fought for us. This decision is easy.",kamalaharris.com,,,HARRIS FOR PRESIDENT,206.8965517
Kamala Harris,38000,199,Nevada,Plain and simple: housing is too expensive. This is Kamala Harris’s plan to fix it.,kamalaharris.com,,Plain and simple: housing is too expensive. This is Kamala Harris’s plan to fix it.,HARRIS FOR PRESIDENT,190.9547739
Kamala Harris,25000,149.5,Nevada,"Kamala Harris is committed to restoring reproductive freedom to the women of America. What Donald Trump took away, Kamala Harris will restore. More than 1 in 3 women in America live under a Trump Abortion Ban. Kamala Harris will restore reproductive freedom and the protections of Roe v. Wade.",kamalaharris.com,,Stop Trump Abortion Bans,HARRIS FOR PRESIDENT,167.2240803
Kamala Harris,1130000,6900,Nevada,"As President, Kamala Harris will build a better economy for all – by lowering the price of housing, banning price gouging on groceries, and providing tax cuts for new businesses.",kamalaharris.com,,,HARRIS FOR PRESIDENT,163.7681159
Kamala Harris,37000,249.5,Nevada,Trump cronies wrote Project 2025 with the goal of making a second Trump presidency more dangerous for the American people.,www.kamalaharris.com,,,HARRIS FOR PRESIDENT,148.2965932
Kamala Harris,14000,99,Nevada,"Trump’s Project 2025 agenda would give him total control over our lives. It will force states to monitor women’s pregnancies and will ban abortion nationwide. As president, Kamala Harris will fight to restore our reproductive freedom.",kamalaharris.com,,,HARRIS FOR PRESIDENT,141.4141414
Kamala Harris,316000,2249.5,Nevada,Homicides and anti-Asian hate crimes skyrocketed during Trump’s presidency. Kamala Harris’ record as a prosecutor and attorney general speaks for itself – she will protect our communities.,kamalaharris.com,,Kamala Harris will keep us safe,HARRIS FOR PRESIDENT,140.4756613
Kamala Harris,109998,798,Nevada,Our democracy is under attack – but we have the chance to save it by electing Kamala Harris.,kamalaharris.com,,,HARRIS FOR PRESIDENT,137.8421053
Kamala Harris,245000,1800,Nevada,Homicides and anti-Asian hate crimes skyrocketed during Trump’s presidency. Kamala Harris’ record as a prosecutor and attorney general speaks for itself – she will protect our communities.,kamalaharris.com,,,HARRIS FOR PRESIDENT,136.1111111
Kamala Harris,32000,248.5,Nevada,"Vice President Harris is not just advocating for change, she’s fighting to protect the rights we all deserve. That's the kind of leadership we need.",kamalaharris.com,,Kamala Harris is fighting to protect our rights,HARRIS FOR PRESIDENT,128.7726358
Kamala Harris,391498.5,3045.5,Nevada,Former Trump staffers know exactly what will happen if Trump is reelected: he’ll place America’s national security at risk. We can’t let that happen.,kamalaharris.com,,,HARRIS FOR PRESIDENT,128.5498276
Kamala Harris,675000,5300,Nevada,"As President, Kamala Harris will build a better economy for all – by lowering the price of housing, banning price gouging on groceries, and providing tax cuts for new businesses.",kamalaharris.com,,Harris will build a better economy,HARRIS FOR PRESIDENT,127.3584906
Kamala Harris,127000,999,Nevada,"Kamala Harris has a plan to allow Medicare to cover the cost of long-term at home care. For those who are taking care of aging parents, this will be a game-changer.",kamalaharris.com,,,HARRIS FOR PRESIDENT,127.1271271
Kamala Harris,216000,1749.5,Nevada,"Kamala Harris lucha por la gente –  ya sean estudiantes, padres, dueños de negocios pequeños o nuestro personal de las fuerzas armadas.",kamalaharris.com,,,HARRIS FOR PRESIDENT,123.4638468
Kamala Harris,725000,5900,Nevada,"It’s true: Trump’s Project 2025 agenda would set us back. It would gut the Department of Education, ban abortion nationwide, and weaken gun laws.",kamalaharris.com,,,HARRIS FOR PRESIDENT,122.8813559
Kamala Harris,30499.5,249.5,Nevada,"Kamala Harris is committed to restoring reproductive freedom to the women of America. What Donald Trump took away, Kamala Harris will restore. More than 1 in 3 women in America live under a Trump Abortion Ban. Kamala Harris will restore reproductive freedom and the protections of Roe v. Wade.",kamalaharris.com,,,HARRIS FOR PRESIDENT,122.242485
Kamala Harris,12000,99,Nevada,Kamala Harris’ economic plan includes eliminating taxes on tips for service and hospitality workers.,cbsnews.com,"In North Carolina, Harris took note of falling inflation but added, Still, we know that many Americans don't yet feel that progress in their daily lives.","Kamala Harris releases economic plan aiming to lower housing costs, end price gouging on food and groceries",HARRIS FOR PRESIDENT,121.2121212
Kamala Harris,336498.5,2797,Nevada,It’s time to get off the sidelines. Go vote.,iwillvote.com,,Vote.,HARRIS FOR PRESIDENT,120.306936
Kamala Harris,380000,3200,Nevada,"It’s true: Trump’s Project 2025 agenda would set us back. It would gut the Department of Education, ban abortion nationwide, and weaken gun laws.",kamalaharris.com,,We can’t afford this,HARRIS FOR PRESIDENT,118.75
Kamala Harris,65000,548.5,Nevada,"Kamala Harris has a plan to allow Medicare to cover the cost of long-term at home care. For those who are taking care of aging parents, this will be a game-changer.",kamalaharris.com,,This will be a game-changer,HARRIS FOR PRESIDENT,118.5050137
Kamala Harris,464000,3949.5,Nevada,Kamala Harris will hold greedy corporations accountable for raising costs and hurting middle class and working families.,kamalaharris.com,,,HARRIS FOR PRESIDENT,117.4832257
Kamala Harris,35000,300,Nevada,The American people are ready to turn the page on Trump’s chaos.,kamalaharris.com,,,HARRIS FOR PRESIDENT,116.6666667
Kamala Harris,560000,4800,Nevada,"Trump’s Project 2025 agenda would be a disaster for Asian American communities – it would ban abortion nationwide, increase health care costs, and make it harder to get visas.",kamalaharris.com,,We must defeat Project 2025,HARRIS FOR PRESIDENT,116.6666667
Kamala Harris,308000,2648.5,Nevada,"Senator Sanders knows: Kamala Harris will fight for working families. She’ll bring down the cost of housing, expand the child tax credit, and have Medicare cover the cost of at-home care.",kamalaharris.com,,Let’s protect working families,HARRIS FOR PRESIDENT,116.2922409
Kamala Harris,360000,3100,Nevada,"Escucha las palabras del Chef José Andrés: Si estás cansado de los ataques de Trump y de la división, podemos darle vuelta a la página. Kamala Harris bajará precios, apoyará a los negocios, y ayudará a las familias latinas a avanzar. Vota por Harris-Walz el 5 de noviembre.",kamalaharris.com,,,HARRIS FOR PRESIDENT,116.1290323
Kamala Harris,475000,4100,Nevada,"It’s no secret corporations have taken advantage of hardworking Americans. While Trump would support billionaires and wealthy corporations, Kamala Harris will work for YOU and your family.",kamalaharris.com,,,HARRIS FOR PRESIDENT,115.8536585
Kamala Harris,265000,2300,Nevada,"Kamala Harris has a plan to lower costs. A Harris presidency will make it easier to buy a house, afford groceries, and pay the bills. Her plan will give $25k to first-time homebuyers, including Latinos, so they can get their foot in the door and be able to realize the American Dream.",kamalaharris.com,,,HARRIS FOR PRESIDENT,115.2173913
