page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Kamala Harris,120000,500,Michigan,Homicides and anti-Asian hate crimes skyrocketed during Trump’s presidency. Kamala Harris’ record as a prosecutor and attorney general speaks for itself – she will protect our communities.,kamalaharris.com,,Kamala Harris will keep us safe,HARRIS FOR PRESIDENT,240
Kamala Harris,66000,299,Michigan,"Trump’s vision sets us back, making things harder for ordinary Americans – while Vice President Harris has consistently fought for us. This decision is easy.",kamalaharris.com,,,HARRIS FOR PRESIDENT,220.735786
Kamala Harris,20000,100,Michigan,Kamala Harris has proudly earned the endorsement of 50+ Lebanese American leaders.,kamalaharris.com,"BUILD AN OPPORTUNITY ECONOMY AND LOWER COSTS FOR FAMILIES Vice President Harris grew up in a middle class home as the daughter of a working mom. She believes that when the middle class is strong, America is strong. That’s why as President, Kamala Harris will create an Opportunity Economy where eve...",Issues - Kamala Harris for President: Official Campaign Website,HARRIS FOR PRESIDENT,200
Kamala Harris,63999,347.5,Michigan,Our democracy is under attack – but we have the chance to save it by electing Kamala Harris.,kamalaharris.com,,,HARRIS FOR PRESIDENT,184.1697842
Kamala Harris,9000,49.5,Michigan,"Did you know that Trump’s Project 2025 would gut overtime pay? Even worse, he gave tax breaks to corporations shipping Michigan jobs overseas.",kamalaharris.com,,,HARRIS FOR PRESIDENT,181.8181818
Kamala Harris,125000,700,Michigan,Homicides and anti-Asian hate crimes skyrocketed during Trump’s presidency. Kamala Harris’ record as a prosecutor and attorney general speaks for itself – she will protect our communities.,kamalaharris.com,,,HARRIS FOR PRESIDENT,178.5714286
Kamala Harris,378000,2200,Michigan,"Trump’s Project 2025 agenda would be a disaster for Asian American communities – it would ban abortion nationwide, increase health care costs, and make it harder to get visas.",kamalaharris.com,,We must defeat Project 2025,HARRIS FOR PRESIDENT,171.8181818
Kamala Harris,270499.5,1599,Michigan,"Hadley was only 12 years old when her stepfather at the time impregnated her after years of sexual abuse. She didn’t know what to do, but she had options. Now, because of Donald Trump, girls like Hadley have lost the right to choose.",kamalaharris.com,,,HARRIS FOR PRESIDENT,169.1679174
Kamala Harris,520000,3100,Michigan,"As President, Kamala Harris will build a better economy for all – by lowering the price of housing, banning price gouging on groceries, and providing tax cuts for new businesses.",kamalaharris.com,,,HARRIS FOR PRESIDENT,167.7419355
Kamala Harris,270499.5,1649.5,Michigan,"Kamala Harris is committed to restoring reproductive freedom to the women of America. What Donald Trump took away, Kamala Harris will restore. More than 1 in 3 women in America live under a Trump Abortion Ban. Kamala Harris will restore reproductive freedom and the protections of Roe v. Wade.",kamalaharris.com,,,HARRIS FOR PRESIDENT,163.9887845
Kamala Harris,32000,199,Michigan,"When auto plants were closing,Trump sided with the CEOs and sold out autoworkers. Under Kamala Harris’ leadership, 20 new auto plants have opened and zero have closed. It’s clear Kamala will protect American jobs.",kamalaharris.com,,,HARRIS FOR PRESIDENT,160.8040201
Kamala Harris,185000,1200,Michigan,"Trump’s Project 2025 agenda would be a disaster for Asian American communities – it would ban abortion nationwide, increase health care costs, and make it harder to get visas.",kamalaharris.com,,,HARRIS FOR PRESIDENT,154.1666667
Kamala Harris,15000,99,Michigan,Donald Trump said it himself: He doesn’t care about you. He has no plan to help the middle class. Kamala Harris is ready to invest in the American people and build up the middle class.,kamalaharris.com,,VP Harris invests in the American people,HARRIS FOR PRESIDENT,151.5151515
Kamala Harris,15000,100,Michigan,,kamalaharris.com,"BUILD AN OPPORTUNITY ECONOMY AND LOWER COSTS FOR FAMILIES Vice President Harris grew up in a middle class home as the daughter of a working mom. She believes that when the middle class is strong, America is strong. That’s why as President, Kamala Harris will create an Opportunity Economy where eve...",VP Harris is taking action,HARRIS FOR PRESIDENT,150
Kamala Harris,36000,249.5,Michigan,"Hadley was only 12 years old when her stepfather at the time impregnated her after years of sexual abuse. She didn’t know what to do, but she had options. Now, because of Donald Trump, girls like Hadley have lost the right to choose.",kamalaharris.com,,Trump took away our freedom,HARRIS FOR PRESIDENT,144.2885772
Kamala Harris,420000,3000,Michigan,"It’s true: Trump’s Project 2025 agenda would set us back. It would gut the Department of Education, ban abortion nationwide, and weaken gun laws.",kamalaharris.com,,,HARRIS FOR PRESIDENT,140
Kamala Harris,40000,300,Michigan,Kamala Harris has proudly earned the endorsement of 50+ Lebanese American leaders.,kamalaharris.com,"BUILD AN OPPORTUNITY ECONOMY AND LOWER COSTS FOR FAMILIES Vice President Harris grew up in a middle class home as the daughter of a working mom. She believes that when the middle class is strong, America is strong. That’s why as President, Kamala Harris will create an Opportunity Economy where eve...",Support for Kamala Harris is growing,HARRIS FOR PRESIDENT,133.3333333
